mz,rt,Exp1R_CRR_10_POS,Exp1R_CRR_6_POS,Exp1R_CRR_7_POS,Exp1R_CRR_8_POS,Exp1R_CRR_9_POS,Exp1R_HCC_10_POS,Exp1R_HCC_6_POS,Exp1R_HCC_7_POS,Exp1R_HCC_8_POS,Exp1R_HCC_9_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,#,#
61.00848797,694.9441674,1357.518802,1333.694025,1279.575981,1202.434724,1214.124798,1287.460605,1340.114863,1166.476064,1284.838245,1312.934453,,
62.98348978,26.84257421,165.163619,173.0113114,164.0483603,155.1713148,192.2760511,178.8169943,169.7572843,182.7139211,157.7450664,174.8579682,,
66.12156213,279.0583964,105.737503,97.3918746,137.6938428,126.3702545,124.3456638,120.0608573,95.41959467,138.7283199,113.8230495,121.8421327,,
69.06983922,41.65170449,270.9883953,267.333419,324.5889366,330.6187641,340.8879816,342.4256315,230.0469739,351.3793791,383.2583612,349.6582303,,
70.06031643,24.91943737,1454.720264,1445.44099,912.6734302,1254.929763,1304.656238,880.3524328,1036.718641,739.9463393,1143.08645,1665.989281,,[M+H-HCOOH]+ 115.057
70.01376685,695.5966053,1592.270767,1521.930162,1555.366916,1554.101949,1482.792471,1555.621813,1642.533165,1381.73088,1497.803823,1585.446365,,[M+Na]+ 47.0219
70.97302974,699.3338684,168.0206762,175.1653334,169.5073912,158.8568245,188.7606437,166.5302114,158.998261,161.6746437,170.694213,156.3879928,,
72.08025385,28.8156944,3636.491341,3452.846601,4210.553102,4071.512231,4371.616362,4704.776936,3316.091227,5467.452197,5661.837726,3860.438023,,
73.5268013,694.9441674,370.4466821,332.9653784,343.8511875,360.0786421,323.944723,363.0855228,356.2170912,306.0472847,342.2279126,366.2665383,,
73.51414254,19.86407279,155.5735904,156.4064811,176.6560801,142.5735427,153.2893513,122.2927163,129.1341443,130.4713162,127.0001174,136.9669913,,
74.52835743,693.6412006,97.14376436,111.4204843,95.16110891,92.63064658,87.67914447,73.78174795,91.2280636,76.4871988,93.16436337,83.16638565,,
77.04393805,35.1102991,73.49132731,61.87597694,78.35498305,71.16863355,71.43541375,66.55680385,85.00585931,76.32821572,81.04823007,80.03907863,,[M+Na]+ 54.0519 [M+H-HCOOH]+ 122.041
77.99923021,699.3186936,152.6595894,136.7177038,121.4584307,145.5088385,120.1188312,133.2599637,128.9261578,124.0154993,131.2991144,127.9999653,,[M+2H]2+ 153.98
79.01677535,696.8991854,773.2227244,785.6537628,783.049555,845.0056466,773.3567521,775.9946095,842.5754694,768.8157477,830.9803223,814.2376391,,[M+2Na]2+ 112.056
