mz,rt,Exp1R_CRR_11_POS,Exp1R_CRR_12_POS,Exp1R_CRR_13_POS,Exp1R_CRR_14_POS,Exp1R_CRR_15_POS,Exp1R_HCC_11_POS,Exp1R_HCC_12_POS,Exp1R_HCC_13_POS,Exp1R_HCC_14_POS,Exp1R_HCC_15_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,#,#
61.00871618,694.8933873,1269.555483,1318.427045,1282.935425,1385.026985,1294.880286,1258.195261,1333.210267,1311.289827,1349.597324,1414.483703,,
62.9857301,26.8426708,179.8889154,163.7084655,165.6005275,179.539446,56.99231742,184.3054809,171.2291271,190.3662664,163.5190345,190.5284962,,[M+H]+ 61.9807 [M+3H-CO2]3+ 229.926 [M+2H-C6H8O6]2+ 299.998
66.12033463,279.0482924,119.4151601,90.03306851,136.1775142,116.5216069,103.050536,118.0764267,141.4753167,104.2219834,132.0584019,113.9015954,,
67.0537175,169.3138795,87.12993472,107.489608,33.01804412,270.6187184,37.77126461,246.6469289,29.95565362,24.58486791,91.05396222,34.38950115,,[M+H]+ 66.0489
69.06958197,41.67102834,292.7225054,324.8461198,349.0205589,261.9720059,248.7475629,507.8034764,410.814199,293.6068574,250.7913094,296.4265434,,
70.01364701,695.55117,1451.121906,1547.276407,1427.394596,1523.037349,1537.134804,1452.595964,1499.850705,1584.446862,1525.889906,1628.206802,,[M+Na]+ 47.022
70.06062214,24.89087492,2086.237524,1294.572303,1479.009773,1257.583687,3235.794637,1253.931292,995.8994726,966.6156864,2346.429044,1060.02134,,[M+K]+ 31.0948 [M+H]+ 69.0512
70.97066512,699.5806682,151.7370713,178.3956837,173.1442262,172.3458458,174.3484468,191.8354676,157.113253,184.7324967,171.678722,221.8416694,,[M+3H-NH3]3+ 226.917
72.08013049,28.80222387,3883.041064,4034.107485,3183.903359,3345.962658,3306.215648,6201.677253,5910.412029,4421.173708,3353.359378,5034.819281,,[M+H-C5H8O4]+ 203.106
73.52799545,694.896012,339.9286835,331.3734917,326.7330601,367.6700551,339.8583459,340.5141784,360.9791131,355.4981793,335.915725,360.8930601,,[M+Na]+ 50.5395
73.51361659,19.84188987,134.8051884,153.5219615,164.2155467,142.7222538,188.9669434,164.3250152,145.6290993,141.2513102,150.6265808,170.1978791,,
74.01320154,26.72130896,113.6147142,139.4561798,110.2286856,123.6607214,116.915288,121.5649746,101.847661,146.4913595,158.265433,119.9980111,,
74.50218942,693.5971312,81.77673065,91.12817085,84.35165107,101.6132244,85.43574839,79.70960566,83.07313124,90.42174739,97.06851367,96.65403781,,
77.04737513,35.13733648,80.39525681,72.93114498,92.88910682,65.46592881,87.64891472,79.96623511,90.22713211,89.89737545,87.94235163,87.42933752,,
77.99873638,699.2708472,134.4509367,118.9123722,134.1957543,132.8914994,130.6280879,106.0772551,146.9290469,143.5700992,130.7021638,142.4268386,,[M+2H]2+ 153.982
79.01673695,696.8623707,744.2718878,789.742014,794.5264835,820.2986414,813.8723825,768.9178317,784.6070831,819.4280929,783.5065004,778.2714765,,[M+2Na]2+ 112.057
79.06031755,71.75521579,94.06852565,70.75128765,65.18586077,128.9272631,63.53490508,149.8028716,78.15110495,73.67507356,87.20567628,83.18876756,,[M+H-CH2]+ 92.0651
80.94850437,23.57749641,4467.14278,4581.992127,4768.257726,4504.481634,1943.101651,4870.785428,4791.726352,4970.047182,4361.241635,4905.019041,,[M+Na]+ 57.9613
81.51908832,695.5483591,7179.230182,7376.368449,7383.517959,9649.093324,7459.053531,7185.78221,7620.452533,7577.005701,10163.21304,7842.886525,,
82.01404156,18.54802441,702.1965567,831.876882,906.6468734,887.3136717,850.5120872,845.0807431,704.3902238,807.4674748,924.7889301,854.7691496,,
82.53589995,694.9776807,746.5979796,756.6602443,749.9411506,1001.416369,760.8057959,712.9698957,789.0339255,781.0878688,1182.950866,817.290894,,[3M+H+Na]2+ 47.022
82.9541375,22.92722452,1568.531313,1753.137951,1841.880504,1790.528905,807.5233811,1871.724289,1796.595463,1839.33695,1704.589936,1832.942128,,
83.50981772,695.4288105,240.5956183,261.2146341,231.2535775,248.3894613,243.1973678,230.6445535,233.8817367,246.3126847,352.0913662,274.1694132,,
84.08038869,28.14490345,496.9162128,478.6814131,526.0493861,549.5595289,428.9757728,541.5934658,519.4652283,590.1352361,946.8245833,430.0910921,,[M+H-C2H4]+ 111.096 [M+H-CO2]+ 127.066
84.98596905,694.2366672,3005.771725,3169.089883,3092.687187,2997.369812,2973.338507,2887.110625,3155.530816,3055.269388,2974.157592,3076.230892,,[M+Na]+ 61.9926 [M+Na]+ 61.9926
86.09584114,43.6236491,16687.5105,18028.76406,17050.62363,14779.73455,12441.06029,28851.03288,25832.69426,15027.76633,13133.68788,17589.94292,[1][M]+,[M+K]+ 47.1318 [M+Na]+ 63.1057 [M+H]+ 85.0879
87.08683195,42.60773953,1351.178139,1331.68598,1342.938045,1202.58894,980.7396181,1774.995676,1659.658442,1208.129856,1169.801174,1381.04059,[1][M+1]+,
88.50686021,698.1555343,223.6662334,237.4081817,253.9718242,244.3281587,209.5449127,219.1327741,237.5353234,222.6772077,238.040153,242.2423768,,
89.50528394,698.1698122,3200.722078,3302.003963,3358.739573,3368.386035,3374.917909,3246.11022,3383.365276,3341.514401,3350.07466,3383.049627,,[M+K]+ 50.5395
90.05846279,27.37405135,207.0983458,140.9659375,165.2116254,185.5520827,255.904164,219.7185411,404.7729842,126.2928414,262.2850128,162.8944574,,[M+H]+ 89.0522
