mz,rt,Exp1R_CRR_1_POS,Exp1R_CRR_2_POS,Exp1R_CRR_3_POS,Exp1R_CRR_4_POS,Exp1R_CRR_5_POS,Exp1R_HCC_1_POS,Exp1R_HCC_2_POS,Exp1R_HCC_3_POS,Exp1R_HCC_4_POS,Exp1R_HCC_5_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,#,#
61.00849771,694.9328958,1215.899089,1179.778751,1199.276206,1313.709124,1268.094645,1256.299036,1193.920051,1330.678741,1191.477579,1347.028406,,
62.9822149,26.85894121,225.2597654,142.5219623,149.7644122,134.7055042,133.3820865,176.8935925,159.5327653,144.8469731,164.0282733,173.9011102,,
66.11991016,279.0474545,122.4864877,129.8261493,59.79776956,134.3387365,109.812416,116.5143346,100.9022021,100.2866979,97.99992841,105.7501808,,
69.07002887,41.6330186,205.334834,422.0965709,213.4703705,186.9614909,269.4584691,581.9767242,317.9096727,323.425204,246.230587,474.8525441,,
70.01377731,695.5877486,1545.175233,1488.023447,1474.684841,1497.156982,1508.598889,1514.076454,1570.812354,1542.277609,1471.381587,1541.985511,,[M+Na]+ 47.0212
70.0615849,24.9353421,864.3262274,2765.311338,762.7548737,1356.022012,2063.088076,1620.487896,2027.539273,1432.00575,1037.472155,1549.547601,,[M+K]+ 31.0989 [M+Na]+ 47.0728 [M+H]+ 69.0547
70.9725703,699.2992618,179.2185215,170.2880705,164.8681668,158.6011373,185.9572241,147.9431347,142.1631525,147.2495078,149.6217785,173.1816124,,
72.08034542,28.79019684,2932.236341,5705.287342,2081.698784,2248.007533,3612.752933,6738.985965,4525.109201,3799.747887,3887.067108,6319.757392,,
73.52984741,694.9328958,323.1775575,298.9667726,327.2345012,349.4112235,328.2686865,338.7393731,336.3384358,350.5808878,327.8460512,358.520417,,
73.51424539,19.26604801,93.73359152,129.5842757,185.3177687,121.5469497,154.4380895,151.759994,184.6045196,157.6296934,150.1892356,156.6586528,,
77.04762531,35.16327883,65.7916055,63.97322861,69.57292615,77.36422918,84.61751827,86.71267727,64.61583555,80.0827529,90.81076709,78.28742168,,
77.99402176,699.922519,130.3019486,137.5314249,140.6824646,135.8002489,129.7081417,136.4720089,126.5359811,122.6043092,128.1121231,126.1661465,,
79.01673617,696.892138,813.1861317,817.7503743,753.2631932,820.6587551,792.3039832,851.0453457,807.0983104,784.7976362,842.501721,845.9502854,,[M+2Na]2+ 112.056
80.94871381,23.58307567,5262.979478,4082.237722,4403.487346,4332.355569,3442.720384,4735.677867,4262.906524,4371.24107,4471.286637,4703.085565,,[M+Na]+ 57.9626 [M+2Na+K]3+ 157.908
81.51921987,695.5877486,7130.691428,7112.866559,7135.08131,7614.075009,7395.288531,7335.569964,7389.281652,7455.524764,7282.022037,7492.11907,,
82.0141838,18.57320598,601.7013778,640.4150432,943.3643641,723.6204675,803.622399,730.3121838,981.9313613,865.6519543,733.7788389,787.6583255,,[M+H-CO]+ 109.002
