mz,rt,Exp1F_CRR_1_POS,Exp1F_CRR_10_POS,Exp1F_CRR_2_POS,Exp1F_CRR_3_POS,Exp1F_CRR_4_POS,Exp1F_CRR_5_POS,Exp1F_CRR_6_POS,Exp1F_CRR_7_POS,Exp1F_CRR_8_POS,Exp1F_CRR_9_POS,Exp1F_HCC_1_POS,Exp1F_HCC_10_POS,Exp1F_HCC_2_POS,Exp1F_HCC_3_POS,Exp1F_HCC_4_POS,Exp1F_HCC_5_POS,Exp1F_HCC_6_POS,Exp1F_HCC_7_POS,Exp1F_HCC_8_POS,Exp1F_HCC_9_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
79.05881613,84.96814875,79.62130444,101.4062728,109.3440188,69.63135239,91.6564943,96.93000938,86.56515311,87.47837051,116.1120881,91.55148184,123.5310132,109.4871709,89.86360801,73.42656562,107.471182,84.02781884,86.30024322,70.40948868,71.43381507,119.2348724,,[M+H-CH2]+ 92.0654
80.00403503,697.263823,173.0443426,140.1923874,140.6950759,149.1945724,129.8621791,137.7631831,155.7244448,137.672382,154.7324876,150.4228533,149.8949627,141.4271821,145.7607895,125.1555004,123.7306066,125.4771032,194.5552555,136.248323,151.2222251,148.782972,,
80.94848477,26.90310133,5994.393204,5334.273239,5001.252263,5555.559541,5188.837605,4502.38512,4854.092178,5860.797359,5622.099659,5541.97638,5587.570135,5427.180021,5170.099127,5374.424462,5445.517502,5572.740812,5837.85244,5601.800799,5931.125588,5221.124969,,
81.51908783,698.2178822,5764.73381,6181.513769,5499.386181,5858.756286,5909.270207,5728.699839,6258.490676,6115.500228,6081.603525,5960.339551,5784.93447,6102.643752,5939.164302,5809.235865,5535.788321,5757.600911,6237.46437,6301.529042,5897.592183,6241.940659,,
82.01386054,22.59901707,630.8433179,784.6154108,729.0359294,1022.117871,830.4082389,874.0574247,1064.066222,934.7119878,868.1898974,959.8604193,825.5825828,756.8284586,1102.635404,942.6342322,748.5406836,923.4375032,876.1951666,786.5142233,834.5098017,856.8058423,,[M+H-CO]+ 109.002
82.53536709,698.0551223,640.729069,671.9325487,567.9311437,644.5793859,624.3101821,635.710682,705.0995634,678.6700585,634.6176813,643.1207671,664.3467277,689.6804037,651.8526444,611.2345512,646.6990562,660.9211858,686.0638146,704.6303599,661.6701086,723.5987475,,[3M+H+Na]2+ 47.0215
82.95211835,26.73301704,2096.696259,1999.854546,1816.00385,2260.017748,1952.857413,1679.30941,1829.496925,2140.001209,2095.53548,2059.53527,2078.888887,2018.026248,1966.436903,2051.148494,1992.292803,2058.801709,2117.902741,2049.32178,2137.188037,1889.738858,,
83.51736868,698.1191197,166.9517827,191.6945795,167.7900153,179.2901938,183.0957526,171.4481323,223.9280769,198.5444743,199.8485661,198.4997768,170.8483127,190.7154048,190.4823615,187.3000647,175.9856356,193.0580662,208.3326651,203.3926385,194.7669491,178.6588148,,
84.08030004,32.56469466,442.9700821,636.2927473,1046.380478,378.4532586,765.2177826,866.9454037,1115.703238,348.245134,510.0659863,377.4223559,496.6784094,545.9477733,307.0165083,508.5217497,579.3063497,623.514127,448.6741167,506.5226573,380.4838086,642.4777715,,
84.97471205,698.1366214,4002.676341,4099.501096,3844.703819,4008.914354,4055.307696,4090.862773,4210.559964,4016.959112,4127.355003,4071.438093,4073.275198,4065.834045,4017.20167,3881.169167,3846.231729,3898.776251,4243.042229,4044.086636,3858.964102,4203.840272,,
