mz,rt,Exp1_CRR_11a_POS,Exp1_CRR_12a_POS,Exp1_CRR_13a_POS,Exp1_CRR_14a_POS,Exp1_CRR_15a_POS,Exp1_CRR_16a_POS,Exp1_CRR_17a_POS,Exp1_CRR_18a_POS,Exp1_CRR_20a_POS,Exp1_CRR_21a_POS,Exp1_HCC_11a_POS,Exp1_HCC_12a_POS,Exp1_HCC_13a_POS,Exp1_HCC_14a_POS,Exp1_HCC_15a_POS,Exp1_HCC_16a_POS,Exp1_HCC_17a_POS,Exp1_HCC_18a_POS,Exp1_HCC_19a_POS,Exp1_HCC_20a_POS,isotopes,adduct
#,#,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,CRR,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,HCC,#,#
70.96113357,581.8161077,1538.645925,1519.860877,1615.622325,1557.234739,1442.526111,1488.758447,1503.847575,1574.987672,1409.587204,1407.422039,1030.769768,959.8028196,887.6882037,866.3730674,731.3873752,740.4701475,752.901701,624.5997059,634.1551979,580.3414681,,[M+2Na+2K-H]3+ 89.9888 [M+2Na+2K-H]3+ 89.9888
71.92009945,217.3921334,579.2207156,420.7011784,240.3445034,300.8319825,265.6770588,276.5988717,88.64920299,137.7032004,179.5303683,260.737929,236.7311403,310.3758744,594.6026305,336.6553536,204.2824788,133.3637401,449.0314395,390.3402737,90.04190537,448.9178162,,
71.94870427,578.6273068,384.778718,392.010989,390.2441644,355.8212751,352.1998516,358.474018,324.3943079,346.4925718,292.7050816,314.5447603,221.9225011,228.2976126,237.0276658,210.8953112,187.4118858,188.0154735,165.4460495,136.3183133,183.2547332,167.3359379,,
72.08036772,24.94470988,2556.015046,1539.606906,2035.168916,1407.736399,1085.1891,1151.619746,1037.104501,1218.291008,1494.342206,1378.425281,1267.436126,1616.011225,1504.548888,1324.377407,581.8852228,925.5046183,1284.68948,1037.318232,826.2011084,1179.13829,[1][M]+,[M+H-C5H8O4]+ 203.109
72.71725031,217.4615661,167.9891638,128.8884828,84.12196133,104.2895579,154.6260733,101.4120952,65.7556388,73.82875893,86.63436736,91.4524348,150.92102,139.1256241,227.2827266,159.6647206,78.36992847,76.95185984,120.0597924,138.5837952,62.39149183,131.3488677,,
72.93885672,581.6530648,6446.786287,6311.707617,6019.425999,5970.118503,6489.163805,6972.629802,6358.471446,6295.391296,6084.374843,5947.924398,4790.169127,4440.143799,4150.430975,3681.613727,3390.523219,3284.018177,3186.540978,2661.108102,2706.317741,2804.501276,,
73.08482543,24.39531164,180.9364618,110.7825308,136.9762085,205.0396707,85.42908501,70.72694808,68.56212577,99.39926876,103.0221865,91.39530795,93.69770677,104.6272735,83.63700881,102.3372575,46.08387739,78.28003842,79.98091377,68.66742165,74.35144048,68.63723844,[1][M+1]+,
73.9488006,584.6615972,609.801601,569.909009,604.0373642,644.9018585,564.0172497,637.4930891,609.3982451,594.9595083,577.7313808,511.8433539,349.4179531,320.5093388,283.6176948,324.6324421,254.4264407,292.8628369,284.1871435,214.0982444,222.7241819,229.0141622,,
74.09648129,554.4848837,5729.134166,7077.999178,13319.15009,12548.29613,3417.11855,2515.162549,3745.094211,12163.16871,8548.499699,8197.237521,8164.220671,6394.760086,7394.633945,9727.886824,5659.425261,5450.23304,6491.351537,7242.808893,7658.164572,3548.924273,,[M+H-CO]+ 101.094
74.94129909,577.5280049,778.8682284,730.186412,685.3849864,694.0077209,714.5846276,770.2589872,703.5897291,760.129455,645.4024252,641.2894994,460.6295258,427.788435,383.1836824,407.8297453,378.4314159,361.0655568,349.8536297,317.2432685,330.5395491,300.9894659,,
76.0354143,227.0828607,108.6152624,211.4421464,185.6623899,76.01028104,101.6314221,140.1344305,152.2141391,211.6430989,123.7625823,80.20346692,87.6092757,152.6975087,74.38114306,87.85957995,129.2085367,178.7321991,103.4372696,92.34072903,118.6814799,116.3701221,,
76.93425039,575.6519315,243.8929416,244.0384136,244.2926169,234.283252,263.3695509,224.799265,243.5942909,213.2983981,232.995253,231.591076,139.7676388,133.4314153,138.2995951,151.8171337,142.8203644,106.634898,132.3681345,113.8081035,105.8482573,124.0538969,,
76.86284915,207.3944304,332.8531489,209.4216901,118.5435493,215.3067561,178.9623713,204.5736511,96.0263804,99.09868253,130.4666125,105.6806275,250.7753825,233.6814212,458.1243538,264.5756559,117.839973,236.6125474,295.7046853,369.5672879,147.394751,350.1811546,,
77.03861028,49.62658967,398.1376376,488.4113064,322.5009087,312.6794556,315.4794075,480.1097278,310.3561607,321.0930808,263.3010811,215.6206809,196.8104319,172.9062079,130.6426753,212.3056015,115.4427288,225.1863263,162.526048,114.429857,308.4000428,345.8104507,,
77.03629419,98.09785931,164.1646598,137.3688227,73.40191308,913.0612021,378.8729862,166.2356052,330.3948115,128.7821016,575.8386578,60.2131418,228.3448656,518.209387,613.0460079,93.23611194,43.22481699,52.87132206,29.55269279,88.39168949,33.1274496,772.9793136,,
77.99383351,576.3841168,162.6030715,141.08205,140.9320554,145.2817956,177.2936756,186.4961854,185.6417667,151.2761184,178.8412543,137.8178009,184.5011211,148.1895645,140.8604606,140.1228964,131.2412819,96.6650149,123.5447451,104.451136,122.6347624,93.86528301,,[M+H]+ 76.9873 [M+H]+ 76.9873
79.0160471,574.6224165,868.9128082,851.1167478,870.193605,884.7587764,832.9256767,770.4070149,787.888766,865.0636146,804.4396916,853.456089,705.3995998,718.4246556,681.3855873,766.3936631,669.0899108,624.7195034,705.3184303,614.534715,715.3111612,582.2800503,,[M+H]+ 78.0089
79.05410702,49.54170795,2206.410998,2707.570716,3639.040465,2217.496022,1934.373723,4487.35266,3677.205904,3583.476075,3531.455345,2635.868119,1401.069317,1290.439212,951.0010921,1586.313421,873.8296097,1606.249022,1203.542041,908.2806837,2189.118879,2762.446005,,
80.05681581,50.03225296,176.0393905,217.4918662,174.086645,176.7771634,143.441393,313.8855395,140.4062121,118.1705645,239.6235509,108.1668329,107.5322863,89.02383539,78.15759311,107.5463849,67.61239902,128.3122703,90.67712858,70.17104978,164.1247315,213.2314404,,
80.94980983,20.60630672,7221.506923,7717.04655,7143.480213,6606.12486,6633.836989,6976.907731,6886.199028,7908.576433,5441.591178,6454.439092,4552.124855,4672.638139,4310.005926,4846.567196,3977.483078,4118.369496,3997.540109,3735.453106,3125.883714,4090.260038,,
81.06989922,412.871587,416.3260909,488.0368029,416.9267128,530.7034763,822.8308022,1253.756776,750.7754564,373.4586034,536.1109514,672.2052138,515.4640947,646.9382019,474.9516983,290.2289483,747.5318255,498.7488527,559.8676588,370.3270897,343.0680397,304.1492201,,[M+H-CH2]+ 94.0785
81.28053659,200.3276552,482.6313989,128.7262109,80.59489313,127.0835603,121.8799454,139.029539,59.5839278,67.46366682,114.7393681,355.5249381,100.4943071,246.1379119,351.6160283,520.7047056,62.63833188,97.81014207,157.5447631,162.0174189,72.05073796,117.7913727,,
81.51842485,573.3116835,10203.0935,9834.241402,11268.51435,12525.2777,10969.74807,7871.810193,10620.68939,11689.98835,9323.819654,10255.1283,4580.823948,4413.175739,4423.310513,4428.134837,3886.051709,3988.693679,4458.55084,3940.249129,4396.942667,3629.052381,,
82.53363639,573.1139524,924.5651326,871.6075055,983.4637664,1055.475881,584.6570661,601.7005627,1150.506976,863.0125803,900.2836078,823.6019365,283.714885,267.4469627,283.8461318,293.7531498,268.6231928,242.7770063,293.2573345,256.0945115,295.9209517,243.2294745,,
82.94859108,20.59500982,2586.456993,2554.164459,2495.832741,2262.999047,2353.41805,2426.819733,2446.44993,2705.484886,2001.611734,2202.724241,1645.82797,1651.046716,1541.171413,1627.115769,1405.065434,1383.296982,1288.109134,1338.58744,1177.344963,1398.670193,,
83.0523623,245.7744764,401.8790925,525.9372749,829.5368338,928.2737465,566.3303368,691.8560264,857.0426449,372.3046804,729.5124232,756.8766649,545.0513127,587.7856037,425.447141,337.0515207,727.6981802,628.4256905,400.0815838,466.3539708,488.3288292,240.1778487,,[M+Na]+ 60.0663
83.51503213,573.1969029,260.5496064,253.8585293,191.2451164,313.3852093,243.3746869,296.4275116,310.533273,308.982363,218.2024123,222.4253618,142.7613221,129.1740786,140.170346,126.5171421,126.8709715,126.0478114,128.4294433,127.6000046,128.9749884,121.0396972,,[M+H]+ 82.5053
84.04819426,25.5992548,1906.814829,2069.213055,1914.484674,1778.661641,1947.046737,1942.006793,1934.175424,1581.480358,1944.927209,1613.476899,1666.208961,1403.697431,1294.008519,1287.728832,1028.744994,1440.788188,1241.470033,1314.432691,1161.130854,820.1355271,,
84.96085057,575.6519315,11152.03393,11456.73515,11512.11719,11692.60396,10551.73855,9840.775729,11059.87272,11118.25345,10516.43313,10678.68365,7419.470056,7521.098222,7326.510908,6978.197014,6566.495143,6484.072544,6634.127023,5898.418897,6101.936737,5487.487388,,[M+K]+ 45.9988
85.09939123,412.8203169,182.5832016,149.078183,142.2801428,214.6714178,428.2971406,652.5087582,329.4200772,160.0958158,281.1897455,301.0150106,210.5400717,289.0762282,242.5739547,117.7132356,382.7362759,239.5380586,282.125795,141.1436914,141.9174823,141.8573063,,
85.95433407,576.6486031,253.3971721,300.4591103,326.9579919,346.879107,282.7950899,242.1539652,280.1438205,350.1322051,257.2196367,266.3090851,171.7906652,179.8844694,176.6126574,131.994701,140.0835932,127.3927641,142.6997119,138.7748195,135.932662,137.3751403,,
86.09622581,34.08806728,14317.41666,14238.04011,14805.1763,10288.30521,11574.07678,10884.10063,10082.19798,12933.91414,10549.38396,9461.526197,10980.63499,12041.60086,12343.78671,14042.28023,5010.057344,9494.390393,11095.11525,9759.687606,6910.873515,14522.92259,[2][M]+,[M+H-HCOOH]+ 131.092
86.93243962,574.0426433,189.2509573,294.9838036,702.6926628,191.1403929,490.5009609,504.6467165,623.2245763,255.2398971,188.5970113,273.073739,131.8371617,107.7793219,118.5595382,81.33974483,93.17821591,96.71746997,95.00250805,74.32726646,90.80406462,86.44334611,,
